,htmid_level_6,galaxy_id,c_in,mB,t0_in,x0_in,x1_in,z_in,snid_in,snra_in,sndec_in
0,9197,23279,-0.1532117310061884,24.115762354089583,61015.483187747515,3.585257684585832e-06,-1.0487610690120004,0.8087030287874992,hl_ms_23279,57.16365821697636,-31.13844357798258
1,9197,42663,-0.06652495016390918,24.729286824187064,62492.507484777605,2.0287134219555947e-06,0.3900974378881205,1.0221030480042237,hl_ms_42663,57.06168876919739,-31.149381974091273
2,9197,44804,-0.11681766798511148,24.64839965947784,60296.851211361085,2.1762247723113355e-06,1.3721121844477582,1.0476349611674776,hl_ms_44804,57.15785793234532,-31.20180811349151
3,9197,59080,0.10140297299515694,25.53963462203267,61356.03117853045,9.582267979216804e-07,1.2786628234934898,1.2009989026262913,hl_ms_59080,57.01389648751385,-31.085026093171628
4,9197,65905,0.07132370114590392,25.969873905679847,62995.02255728398,6.460486835853135e-07,0.8216411733947547,1.237551487443879,hl_ms_65905,57.01953496744362,-31.24116850221809
5,9197,68555,-0.09819082907184937,25.227737674017252,59596.41134793827,1.278777306694759e-06,0.9489357917521688,1.2573369730980937,hl_ms_68555,56.95195517185598,-31.07968164134842
6,9197,69241,0.17052826907904756,26.76251704403906,61287.00023129957,3.138352183316856e-07,-1.7470886879722545,1.2649692352194306,hl_ms_69241,57.110037530162195,-31.214185627343568
7,9197,4125030762,0.006923282975380092,20.9366673915652,62913.756131281574,6.681330519973433e-05,0.08022042374840055,0.20590996742248535,MS_9300_74,57.01592747588264,-31.151062188591112
8,9197,4125083442,-0.004801075030468116,21.792006940731806,62038.49722262874,3.0409670270265986e-05,-0.0982954964279995,0.2950291633605957,MS_9300_163,57.02699185729592,-31.177616769675453
9,9197,4125114772,-0.0342391912538965,22.0365532536914,60869.38350115116,2.4176745846821224e-05,0.9780005881107808,0.30879437923431396,MS_9300_196,57.126941338317174,-31.08945784623169
10,9197,4125110895,-0.07466303260007559,21.510851668098137,60703.427517706936,3.935721575722641e-05,0.11103242828618198,0.3087416887283325,MS_9300_197,57.1061516642161,-31.152386749036186
11,9197,4125111058,-0.04992155018665284,21.659206543093457,59787.664920054114,3.42773619887209e-05,0.5635373880081829,0.32085514068603516,MS_9300_214,57.08962916983543,-31.198895876758918
12,9197,4125112634,-0.009134965573080078,21.92691084636252,61968.091304912705,2.6942446691772425e-05,-0.991945202482646,0.3286086320877075,MS_9300_238,57.025321890100315,-31.254400428086633
13,9197,4125111056,0.08024886132447842,22.68275383332859,60010.00500949991,1.3545589477803865e-05,-3.62935285909772,0.32085514068603516,MS_9300_240,57.09102315583279,-31.198242097963092
14,9197,4125180686,0.05600907211851546,22.5177815645034,61185.68287317486,1.55083991670523e-05,1.1561317274128766,0.3815969228744507,MS_9300_348,57.077328325475975,-31.05306526269324
