index,fieldID,descDitheredRA,descDitheredDec,expMJD,filter,fiveSigmaDepth,fiveSigmaDepth.1,rotSkyPos,rotTelPos,FWHMeff,obsHistID,mag,snid_in,chip,xpixel,ypixel
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,20.403237379241453,MS_9172_4,"R:0,4 S:2,1",1571.4829753909594,2642.111896085592
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,22.995025979873105,MS_9172_355,"R:1,4 S:1,0",1882.685282438293,236.0821238997839
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,24.831168664540378,MS_9172_680,"R:1,4 S:0,0",2515.631828338353,83.15681931952417
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,23.16781537299068,MS_9172_684,"R:1,4 S:1,0",1088.6262570611482,3581.2941377286184
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,23.660808649995168,MS_9172_1425,"R:1,4 S:1,1",188.9496736832382,147.4500693472432
107,1297,57.95125178153412,-31.29541313628167,60132.418248,lssty,22.1352836083,22.1352836083,2.065568,0.262857,0.796085,390562,26.184947940074892,MS_9172_2529,"R:1,3 S:0,2",2156.1587836742538,243.36434772188684
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,25.09493950280013,MS_9172_293,"R:0,3 S:0,2",829.7356314298787,2754.8350186623206
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,24.071656902881273,MS_9172_355,"R:0,3 S:1,1",2513.3864370610813,3162.5901570795513
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,25.02635779923694,MS_9172_684,"R:0,3 S:0,1",1738.7521461010301,2295.058563799596
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,27.569958862077826,MS_9172_1425,"R:0,3 S:1,2",823.0618134864849,3053.7776212738945
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,26.615080766145425,MS_9172_1469,"R:0,2 S:1,1",3011.398691043184,3733.1865224282974
108,1297,58.944666174273365,-30.81498802506447,60145.374232,lsstg,24.4186221121,24.4186221121,2.866696,1.047071,1.096641,400356,26.9756876554298,MS_9172_2529,"R:0,3 S:0,0",2785.3677858420083,3196.4994884336998
109,1309,55.748583196791635,-30.853548084676778,60145.37467999999,lsstg,24.4816599089,24.4816599089,2.856264,1.047964,1.065122,400357,22.225127752959608,MS_9172_4,"R:3,3 S:1,2",1801.1840495514946,2044.3129414168948
109,1309,55.748583196791635,-30.853548084676778,60145.37467999999,lsstg,24.4816599089,24.4816599089,2.856264,1.047964,1.065122,400357,25.094944916353136,MS_9172_293,"R:4,3 S:0,1",3297.9667614688733,3734.382805250361
109,1309,55.748583196791635,-30.853548084676778,60145.37467999999,lsstg,24.4816599089,24.4816599089,2.856264,1.047964,1.065122,400357,24.07170118642334,MS_9172_355,"R:4,3 S:0,1",662.7354789990351,-1.1155875873629602
109,1309,55.748583196791635,-30.853548084676778,60145.37467999999,lsstg,24.4816599089,24.4816599089,2.856264,1.047964,1.065122,400357,26.614965677657572,MS_9172_1469,"R:4,2 S:0,1",1178.3290804406474,922.391766928858
109,1309,55.748583196791635,-30.853548084676778,60145.37467999999,lsstg,24.4816599089,24.4816599089,2.856264,1.047964,1.065122,400357,26.975674605500245,MS_9172_2529,"R:3,3 S:2,0",1050.566844789158,120.4417164549421
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,22.225461733563137,MS_9172_4,"R:1,2 S:1,0",2067.3684565167905,2660.375017424659
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,25.09513208232945,MS_9172_293,"R:1,1 S:2,2",3680.629642516785,75.39899449950889
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,24.073234995258513,MS_9172_355,"R:2,1 S:0,2",1090.4639508801938,560.1139052543507
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,25.027797642593388,MS_9172_684,"R:2,1 S:0,2",365.2201093115217,3918.683102331371
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,27.570508909181882,MS_9172_1425,"R:2,1 S:0,2",3621.110414983113,412.09875732074016
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,26.610985853819777,MS_9172_1469,"R:2,0 S:0,2",1597.4547306822155,1335.8300424202434
110,1297,57.343375354328366,-29.61916781084694,60145.39019,lsstg,24.6017623352,24.6017623352,2.959792,1.171684,0.956766,400390,26.975224662420203,MS_9172_2529,"R:1,1 S:2,1",1428.994953949687,625.0975238627793
