obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
227922,i,0.664575,54.36279344982196,-30.537504564882617,1.02114788507,23.6411662876,59887.189549,1.4808089432041351,2.024085801819944,3.1591130593831713,3.435404805931358
227924,i,0.668351,57.189453860665765,-30.57623651183346,1.03117852275,23.6484253141,59887.190461,1.1061965557290925,1.7493388805391292,0.815119722012356,1.5832984311592753
238587,z,0.991241,55.26857235938506,-30.835958280366263,1.43508567112,22.7150436123,59909.026934,0.6485807986502538,1.320824640584307,2.348976633005006,2.6053248976805876
238619,z,0.838655,55.556034856404864,-29.896192904792684,1.28386555103,23.0696042997,59909.041457,1.168275872109746,2.1379775376838275,2.3784503488703503,2.969533417077087
238624,z,0.83674,53.988192566949614,-32.205957664303575,1.27859651929,23.0765892018,59909.043698,2.0952208057660817,1.716564312943518,3.6231204993857364,3.4044146995907236
240845,z,1.229505,59.62245860091623,-30.720908355103994,1.26141954468,22.6597267035,59912.054799,3.1219451188767873,3.347027657583959,1.4204229501950227,1.8855501473034229
242274,y,0.865422,57.29818678036166,-31.419687682045545,1.27067281666,22.1281348781,59914.038822,1.1869682739053267,1.247562765765018,0.7324106667016731,0.8325982681079364
242275,y,0.850111,54.714770506642644,-33.189840790102224,1.23279892731,22.1739993738,59914.039268,2.445521188314724,1.6087516797205434,3.54099448579662,3.0125157258259083
242277,y,0.845461,54.22561023454816,-30.896176144634516,1.22172940067,22.1858133116,59914.040165,1.5252973900661189,1.8734145665681015,3.2385523442637574,3.4036757179788815
242980,z,0.891734,59.7696861338911,-31.579886681564126,1.31449348234,22.8608396937,59915.037001,3.272979531314181,3.2314269856051316,1.6196250079550287,1.5617496836954032
242981,z,0.874855,59.27392973090221,-33.31514665989733,1.27261120669,22.8983127176,59915.037447,3.6109791800558537,3.053811221114092,2.553956090015791,1.6970018750708957
242982,z,0.870088,56.620825411525885,-29.94386299334757,1.26121493127,22.9065694595,59915.037903,1.1839400321609928,2.1239084241164945,1.5900584797880708,2.371866198142495
243025,z,0.852118,59.881680872291696,-32.56193634241835,1.19923233922,22.9832201764,59915.059919,3.6503427899903187,3.329283655555874,2.235580488747347,1.6871446086832291
243031,z,0.833141,56.547202077846485,-30.35954387371498,1.15455637823,23.0183300381,59915.062614,0.7947666966220301,1.7059412501450844,1.4040165920545997,2.0580925916256656
244023,i,0.738166,56.0476197466023,-32.07446385032105,1.03406029598,23.549897559,59916.197901,1.0752300745048358,0.08470179337430131,1.9806996075768444,1.656691235849106
246615,y,0.789002,56.01321597703768,-31.494458674310117,1.09023546477,22.1499290535,59920.070124,0.4945877499783334,0.5056662295574141,1.7690481111718523,1.7634965156211322
